year,id,ch_name,en_name,type,duration,magnitude,hpa,wind_speed,r7_km,r10_km,alert_level
2001,200104,尤特,UTOR,5,2001/7/3 14:45,中度,960,38,350,120,20
,,,,,2001/7/5 23:10,,,,,,
2001,200102,奇比,CHEBI,7,2001/6/22 03:00,中度,965,35,200,80,19
,,,,,2001/6/24 08:20,,,,,,
2001,200101,西馬隆,CIMARON,8,2001/5/11 11:15,輕度,990,23,150,---,20
,,,,,2001/5/13 20:05,,,,,,
2000,200021,貝碧佳,BEBINCA,---,2000/11/6 10:15,輕度,970,28,200,---,9
,,,,,2000/11/7 08:55,,,,,,
2000,200020,象神,XANGSANE,6,2000/10/30 20:15,中度,960,38,250,100,17
,,,,,2000/11/1 20:05,,,,,,
2000,200019,雅吉,YAGI,---,2000/10/23 20:20,中度,970,33,180,50,21
,,,,,2000/10/26 08:50,,,,,,
2000,200015,寶發,BOPHA,特殊,2000/9/8 15:15,輕度,990,23,180,---,17
,,,,,2000/9/10 15:00,,,,,,
2000,200012,巴比侖,PRAPIROON,6,2000/8/27 20:45,中度,965,33,250,---,23
,,,,,2000/8/30 14:20,,,,,,
2000,200010,碧利斯,BILIS,3,2000/8/21 08:25,強烈,930,53,300,120,21
,,,,,2000/8/23 20:05,,,,,,
2000,200004,啟德,KAI-TAK,6,2000/7/6 11:43,中度,965,35,150,50,30
,,,,,2000/7/10 03:00,,,,,,
1999,199920,丹恩,DAN,7,1999/10/4 14:15,中度,968,38,250,80,43
,,,,,1999/10/9 20:10,,,,,,
1999,199911,山姆,SAM,---,1999/8/19 20:15,輕度,970,30,200,---,18
,,,,,1999/8/21 23:26,,,,,,
1999,199906,瑪姬,MAGGIE,5,1999/6/4 14:30,中度,965,38,250,100,20
,,,,,1999/6/6 22:24,,,,,,
1998,199812,芭比絲,BABS,9,1998/10/25 20:40,中度,950,35,250,100,18
,,,,,1998/10/27 23:05,,,,,,
1998,199810,瑞伯,ZEB,6,1998/10/13 14:20,強烈,920,55,350,150,30
,,,,,1998/10/17 06:45,,,,,,
1998,199809,楊妮,YANNI,6,1998/9/27 23:30,輕度,975,25,100,---,14
,,,,,1998/9/29 14:45,,,,,,
1998,199802,奧托,OTTO,3,1998/8/3 09:45,輕度,985,30,150,---,17
,,,,,1998/8/5 09:00,,,,,,
1998,199801,妮蔻兒,NICHOLE,9,1998/7/9 05:55,輕度,998,18,100,---,10
,,,,,1998/7/10 09:45,,,,,,
1997,199726,艾文,IVAN,---,1997/10/19 20:25,強烈,905,55,250,100,16
,,,,,1997/10/21 17:10,,,,,,
1997,199719,卡絲,CASS,---,1997/8/29 23:40,輕度,995,20,100,---,8
,,,,,1997/8/30 20:20,,,,,,
1997,199717,安珀,AMBER,3,1997/8/27 08:35,中度,945,48,250,100,23
,,,,,1997/8/30 02:35,,,,,,
1997,199714,溫妮,WINNIE,1,1997/8/16 14:35,中度,905,43,300,100,21
,,,,,1997/8/19 03:00,,,,,,
1996,199623,薩恩,ZANE,---,1996/9/27 14:55,中度,955,43,200,80,11
,,,,,1996/9/28 20:25,,,,,,
1996,199620,魏萊特,VIOLET,---,1996/9/15 20:30,強烈,940,51,300,120,9
,,,,,1996/9/16 21:00,,,,,,
1996,199618,莎莉,SALLY,---,1996/9/7 09:00,中度,950,48,250,80,12
,,,,,1996/9/8 17:45,,,,,,
1996,199612,麗莎,LISA,---,1996/8/6 16:40,輕度,993,20,100,---,6
,,,,,1996/8/7 05:40,,,,,,
1996,199608,賀伯,HERB,2,1996/7/29 11:30,強烈,920,53,350,150,29
,,,,,1996/8/1 23:20,,,,,,
1996,199607,葛樂禮,GLORIA,7,1996/7/24 11:45,中度,965,35,250,80,26
,,,,,1996/7/27 15:30,,,,,,
1996,199603,凱姆,CAM,8,1996/5/20 21:35,輕度,995,20,150,---,24
,,,,,1996/5/23 18:00,,,,,,
1995,199515,賴恩,RYAN,8,1995/9/20 17:05,中度,955,45,300,100,23
,,,,,1995/9/23 12:15,,,,,,
