name,location,tele,CityName,latlon
銅鑼服務所,苗栗縣銅鑼鄉大同路143號,037-980668,苗栗縣,"24.48785,120.78648799999996"
大湖服務所,苗栗縣大湖鄉民族路30號,037-990058,苗栗縣,"24.4230076,120.86942750000003"
造橋服務所,苗栗縣造橋鄉大西村赤崎街2號,037-542116,苗栗縣,"24.5710733,120.82914929999993"
三義服務所,苗栗縣三義鄉中正路68號,037-870186,苗栗縣,"24.4148513,120.77246030000003"
三灣服務所,苗栗縣三灣鄉中正路307號,037-831186,苗栗縣,"24.6569169,120.9586746"
南庄服務所,苗栗縣南庄鄉中正路186號,037-821002,苗栗縣,"24.6031091,121.00041579999993"
獅潭服務所,苗栗縣獅潭鄉和興村新興2號,037-931511,苗栗縣,"24.53402,120.91781000000003"
台中區營業處,台中市中區自由路二段86號,04-22245131,台中市,"24.1416775,120.68407930000001"
西屯服務所,台中市西屯區西安街279號,04-27029748,台中市,"24.1820598,120.6484825"
南屯服務所,台中市南屯區黎明路1段971號,04-23896564,台中市,"24.1366152,120.6368258"
太平服務所,台中市太平區中平路173號,04-22785764,台中市,"24.1258896,120.71844099999998"
大里服務所,台中市大里區國中路186號,04-24064451,台中市,"24.096311,120.68216099999995"
沙鹿服務所,台中市沙鹿區鎮南路2段439號,04-26350050,台中市,"24.230648,120.56593199999998"
潭子服務所,台中市潭子區中山路3段305巷48-1號,04-25324625,台中市,"24.2259682,120.70555379999996"
清水服務所,台中市清水區清水街15號,04-26222018,台中市,"24.2692329,120.57642099999998"
大雅服務所,台中市大雅區雅潭路4段399號,04-25664051,台中市,"24.2199524,120.65860859999998"
烏日服務所,台中市烏日區中山路1段和平巷65號,04-23381040,台中市,"24.1072073,120.64529540000001"
梧棲服務所,台中市梧棲區四維路3號,04-26562854,台中市,"24.25958,120.53601500000002"
龍井服務所,台中市龍井區沙田路四段253號,04-26353034,台中市,"24.1931567,120.54591720000008"
東山服務所,台中市北屯區東山路一段392之1號,04-22390943,台中市,"24.1768935,120.73413219999998"
大肚服務所,台中市大肚區文昌路一段182號,04-26992164,台中市,"24.1508172,120.5407348"
豐原分處,台中市豐原區中正路599號,04-25204773,台中市,"24.2499484,120.7078702"
東勢服務所,台中市東勢區中新街西新巷88-1號,04-25872028,台中市,"24.257946,120.83182680000004"
大甲服務所,台中市大甲區經國路888號,04-26861224,台中市,"24.3555282,120.620093"
后里服務所,台中市后里區三光路74號,04-25562036,台中市,"24.3067437,120.7115642"
神岡服務所,台中市神岡區神岡路12號,04-25623464,台中市,"24.2580564,120.66231289999996"
新社服務所,台中市新社區興安路1-2號,04-25811453,台中市,"24.238473,120.80673790000003"
外埔服務所,台中市外埔區六分路376號,04-26832109,台中市,"24.3321906,120.6548282"
石岡服務所,台中市石岡區大勇街2號,04-25721943,台中市,"24.2753323,120.77414010000007"
大安服務所,台中市大安區中松路68號,04-26712764,台中市,"24.3475722,120.58774489999996"
梨山服務所,台中市和平區中興路四段178號,04-25989213,台中市,"24.2646339,121.25995060000002"
